pattern;regex->SR (milliseconds);SR->NCA (milliseconds);NCA->DCA (milliseconds);NCA->DCA (milliseconds)-alg;NCA->DCA (milliseconds)-opt;|NCA|;|DCA|;|DCA|-opt;|DCA|-alg;NCA-trans;DCA-trans;DCA-trans-opt;DCA-trans-alg;Counters-NCA;Counters-DCA;Counters-DCA-alg;Timeouts-our;Our exception;Positive-errors;Positive-opt-errors;Lenght string;DCA Matcher - time (milliseconds);DCA Matcher opt - time (milliseconds);regex->NFA (milliseconds);NFA->DFA (milliseconds);DFA->min (milliseconds);|NFA|;|DFA|;|MIN|;DFA-trans;MIN-trans;Timeouts-classical;Classical exception
^.{0,114}\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90;0,0139;255,9627;;;;;;;;;;;;;;;1;The function has taken longer than the maximum time allowed.;;;;;;0,21819;54,54305;25,50255;130;3025;1520;7252;3025;;
^.{0,13}Cinco Network, Inc\.;0,00292;8,05666;83,96765;11,48208;73,94646;20;75;75;75;21;257;257;257;1;1;1;;;0;0;28,22222222;1,078611111;0,530022222;0,30624;1,82919;2,29305;34;124;124;306;306;;
^.{0,13}\x05\x00>;0,0026;0,25687;7,24283;3,59392;8,73035;4;11;11;11;5;33;33;33;1;1;1;;;0;0;13,77777778;0,890922222;0,468877778;0,13583;1,71755;1,42109;18;74;42;203;103;;
^.{0,13}\x05\x00\x3E;0,0024;0,21492;8,07551;2,33517;3,74481;4;11;11;11;5;33;33;33;1;1;1;;;0;0;11,33333333;0,215788889;0,187377778;0,18218;1,22134;1,32052;18;74;42;203;103;;
^.{0,13}\x43\x69\x6e\x63\x6f\x20\x4e\x65\x74\x77\x6f\x72\x6b\x2c\x20\x49\x6e\x63\x2e;0,00296;10,53559;77,28161;21,92327;79,92473;20;75;75;75;21;257;257;257;1;1;1;;;0;0;27,77777778;1,159355556;0,566888889;0,17989;1,08749;1,09548;34;124;124;306;306;;
^.{0,16}================;0,0018;0,8485;;;;;;;;;;;;;;;1;The function has taken longer than the maximum time allowed.;;;;;;0,18881;1,95554;1,85014;34;289;153;440;289;;
^.{0,16}TJPingPro by Jim;0,00189;3,64627;38,6857;9,35232;39,74959;17;63;63;63;18;215;215;215;1;1;1;;;0;0;25,66666667;3,508766667;0,4553;0,37624;2,16832;2,02453;34;184;168;470;439;;
^.{0,16}\x54\x4a\x50\x69\x6e\x67\x50\x72\x6f\x20\x62\x79\x20\x4a\x69\x6d;0,00214;6,63664;33,01441;8,83233;40,4934;17;63;63;63;18;215;215;215;1;1;1;;;0;0;24;0,9302;0,630688889;0,37624;1,47848;1,70711;34;184;168;470;439;;
^.{0,16}\x57\x68\x61\x74\x73\x55\x70\x20\x2d\x20\x41\x20\x4e\x65\x74\x77;0,00218;5,00827;39,51721;10,72396;47,70615;17;63;63;63;18;215;215;215;1;1;1;;;0;0;24,33333333;0,776777778;0,413688889;0,37624;1,76188;1,43569;34;184;168;470;439;;
^.{0,16}\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa;0,0013;0,9223;;;;;;;;;;;;;;;1;The function has taken longer than the maximum time allowed.;;;;;;0,37624;1,9916;1,87993;34;289;153;440;289;;
^.{0,23}Wtzup Use;0,00189;2,25766;17,51824;4,92826;19,04943;10;35;35;35;11;117;117;117;1;1;1;;;0;0;19,22222222;0,6607;0,282255556;0,37624;3,28142;2,88666;34;296;189;896;516;;
^.{0,24}ISSPNGRQ;0,0019;0,68632;11,0782;3,60733;17,10538;9;31;31;31;10;103;103;103;1;1;1;;;0;0;16,11111111;0,371366667;0,236833333;0,37624;2,96963;2,49082;34;295;180;901;491;;
^.{0,24}\x49\x53\x53\x50\x4e\x47\x52\x51;0,00198;0,58435;13,26096;5,48589;11,90032;9;31;31;31;10;103;103;103;1;1;1;;;0;0;19,11111111;0,620266667;0,430088889;0,37624;2,69743;2,43867;34;295;180;901;491;;
^.{0,3}Invalid login;0,00226;3,92763;28,13284;7,91956;28,94492;14;51;51;51;15;173;173;173;1;1;1;;;0;0;19,22222222;0,331955556;0,321444444;0,37624;0,27211;0,1253;18;23;23;35;35;;
^.{0,4}[gG][eE][tT] ;0,0019;0,21874;5,18862;1,6802;2,95402;5;15;15;15;6;47;47;47;1;1;1;;;0;0;11,77777778;0,194655556;0,199566667;0,37624;0,25752;0,22158;10;22;18;44;37;;
^.{0,4}\x0A     ;0,0018;0,2394;3,70311;3,46615;3,58801;7;23;23;23;8;75;75;75;1;1;1;;;0;0;14,77777778;0,1626;0,187344444;0,37624;0,16892;0,07541;12;11;11;15;15;;
^.{0,5}[pP][cC][cC][sS][mM][yY][sS][qQ][lL][aA][dD][mM]\/[iI][nN][cC][sS]\/[dD][bB][cC][oO][nN][nN][eE][cC][tT]\.[iI][nN][cC];0,00241;15,22988;106,45916;20,82888;125,12215;32;123;123;123;33;425;424;425;1;1;1;;;0;0;39,22222222;6,729866667;1,163;0,37624;0,43015;0,32921;38;52;52;82;82;;
^.{0,8}VERSION\x0A;0,00199;0,64646;14,81198;5,05016;15,71744;9;31;31;31;10;103;103;103;1;1;1;;;0;0;15,88888889;0,437922222;0,258355556;0,37624;0,54689;0,4882;18;52;52;123;123;;
^.{0,92}\x38\x39\x3a\x3b\x3c\x3d\x3e\x3f;0,00203;0,63767;9,5782;3,84263;20,71848;9;31;31;31;10;103;103;103;1;1;1;;;0;0;20;0,464566667;0,295;0,37624;20,74819;12,7346;102;1383;724;4505;2055;;
^.{0,9}[yY][pP][iI]0[cC][aA];0,00211;0,41917;9,02454;3,74463;9,71808;7;23;23;23;8;75;75;75;1;1;1;;;0;0;15;0,465077778;0,227922222;0,37624;0,46772;0,44391;17;66;51;166;125;;
^.{0}\x05.{1}\x0b.{21}\x00;0,00228;0,21571;0,96068;0,72039;3,02308;5;6;6;6;6;9;9;9;1;1;1;;;0;0;30,44444444;0,7183;1,837233333;0,37624;0,0002;0,10281;26;26;26;26;26;;
^.{0}\x05.{1}\x0b.{29}\xA0\x01\x00\x00\x00\x00\x00\x00\xC0\x00\x00\x00\x00\x00\x00\x46;0,00242;3,04385;27,54005;7,73105;24,13926;20;66;66;66;21;218;218;218;1;1;1;;;0;0;55,44444444;1,417177778;7,904844444;0,37624;0,0002;0,35119;49;49;49;49;49;;
^.{0}\x05.{1}\x0b.{29}\xB8\x4A\x9F\x4D\x1C\x7D\xCF\x11\x86\x1E\x00\x20\xAF\x6E\x7C\x57;0,00245;6,32861;72,86258;17,10948;60,82664;20;66;66;66;21;218;218;218;1;1;1;;;0;0;52,66666667;11,35885556;6,210877778;0,37624;0,00032;0,1772;49;49;49;49;49;;
^.{10}<willnevermatch>;0,00254;3,83157;58,03184;18,91307;72,7126;17;63;63;63;18;215;215;215;1;1;1;;;0;0;31,33333333;0,652222222;0,519622222;0,37624;0,0002;0,14744;27;27;27;27;27;;
^.{10}\x8F;0,002;0,08295;0,49899;0,57773;0,62951;2;3;3;3;3;6;6;6;1;1;1;;;0;0;16,11111111;0,676544444;0,218977778;0,37624;8,00E-05;0,05607;12;12;12;12;12;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x01;0,00226;0,58375;95,20907;79,30025;82,7567;9;143;143;143;11;984;968;984;2;2;2;;;0;10;29,22222222;0,723477778;0,5148;0,37624;0,00016;0,11873;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x02;0,00198;0,55307;114,97563;73,96132;94,72913;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;27,44444444;1,256255556;0,988677778;0,37624;0,00016;0,167;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA1;0,00204;1,34784;212,88639;126,80976;208,84595;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;29,33333333;1,661688889;0,956288889;0,37624;0,00016;0,31097;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA2;0,0025;2,32289;207,3157;122,95085;184,9115;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;31,66666667;1,0559;0,6263;0,37624;0,00016;0,12659;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA3;0,00232;1,24462;197,40735;111,48667;167,57894;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;34,33333333;1,005422222;0,447422222;0,37624;0,00024;0,14097;28;28;28;28;28;;
